Date,E,W,Total,Outlier,Total Employees*,Total Employees* Not Laid Off,Active,Non Active,Laid Off,Available,Available / Total Employees*
2/24/2018,11,10,21,No,495,392,449,46,103,346,69.9%
2/25/2018,13,12,25,No,495,401,450,45,94,356,71.92%
2/26/2018,12,12,24,No,495,395,450,45,100,350,70.71%
2/27/2018,14,12,26,No,495,395,449,46,100,349,70.51%
2/28/2018,11,10,21,No,495,381,447,48,114,333,67.27%
3/1/2018,12,11,23,No,495,371,446,49,124,322,64.65%
3/2/2018,14,10,24,No,495,372,448,47,123,325,64.85%
3/3/2018,14,13,27,No,494,379,446,48,115,331,66.6%
3/4/2018,11,12,23,No,494,385,445,49,109,336,67.81%
3/5/2018,11,9,20,No,494,393,445,49,101,344,67.61%
3/6/2018,10,12,22,No,494,398,445,49,96,349,68.62%
3/7/2018,11,11,22,No,494,395,447,47,99,348,68.62%
3/8/2018,13,11,24,No,494,377,447,47,117,330,66.19%
3/9/2018,13,11,24,No,494,383,446,48,111,335,66.6%
3/10/2018,11,12,23,No,495,398,445,50,97,348,69.29%
3/11/2018,15,10,25,No,495,397,446,49,98,348,70.1%
3/12/2018,10,13,23,No,495,386,442,53,109,333,66.87%
3/13/2018,13,14,27,No,495,380,435,60,115,320,64.04%
3/14/2018,12,9,21,No,495,381,436,59,114,322,64.44%
3/15/2018,10,13,23,No,495,370,438,57,125,313,62.83%
3/16/2018,16,8,24,No,495,359,437,58,136,301,60.4%
3/17/2018,11,11,22,No,495,370,438,57,125,313,63.23%
3/18/2018,10,9,19,No,494,397,440,54,97,343,69.43%
3/19/2018,8,12,20,No,494,407,440,54,87,353,70.65%
3/20/2018,12,12,24,No,495,402,441,54,93,348,68.69%
3/21/2018,12,10,22,No,495,401,439,56,94,345,67.27%
3/22/2018,12,12,24,No,495,405,439,56,90,349,68.89%
3/23/2018,12,8,20,No,495,402,440,55,93,347,69.09%
3/24/2018,12,11,23,No,495,401,440,55,94,346,68.48%
3/25/2018,14,11,25,No,495,405,442,53,90,352,70.3%
3/26/2018,9,11,20,No,495,398,442,53,97,345,68.89%
3/27/2018,13,13,26,No,495,394,441,54,101,340,68.28%
3/28/2018,12,12,24,No,494,383,440,54,111,329,65.99%
3/29/2018,12,11,23,No,494,393,440,54,101,339,68.02%
3/30/2018,15,8,23,No,494,389,440,54,105,335,67.41%
3/31/2018,11,15,26,No,494,395,440,54,99,341,68.83%
4/1/2018,13,12,25,No,494,389,443,51,105,338,68.42%
4/2/2018,14,8,22,No,494,398,443,51,96,347,69.03%
4/3/2018,10,12,22,No,494,399,443,51,95,348,66.19%
4/4/2018,10,9,19,No,494,396,443,51,98,345,67.81%
4/5/2018,10,7,17,No,494,397,442,52,97,345,68.62%
4/6/2018,13,12,25,No,494,396,442,52,98,344,67.21%
4/7/2018,12,12,24,No,494,399,440,54,95,345,69.43%
4/8/2018,12,12,24,No,494,410,440,54,84,356,71.46%
4/9/2018,14,12,26,No,494,417,439,55,77,362,71.86%
4/10/2018,8,12,20,No,493,414,439,54,79,360,71.81%
4/11/2018,14,12,26,No,497,417,447,50,80,367,72.84%
4/12/2018,12,9,21,No,497,418,448,49,79,369,73.04%
4/13/2018,13,12,25,No,497,418,448,49,79,369,73.84%
4/14/2018,14,12,26,No,497,426,447,50,71,376,74.65%
4/15/2018,10,13,23,No,516,443,467,49,73,394,75.97%
4/16/2018,8,9,17,No,516,444,466,50,72,394,75%
4/17/2018,9,11,20,No,517,454,465,52,63,402,73.5%
4/18/2018,13,13,26,No,517,451,466,51,66,400,75.05%
4/19/2018,9,11,20,No,517,443,466,51,74,392,73.31%
4/20/2018,15,13,28,No,517,426,466,51,91,375,71.57%
4/21/2018,12,12,24,No,516,439,464,52,77,387,74.22%
4/22/2018,12,12,24,No,516,438,464,52,78,386,73.84%
4/23/2018,7,10,17,No,516,440,464,52,76,388,74.22%
4/24/2018,16,11,27,No,516,437,463,53,79,384,73.64%
4/25/2018,11,14,25,No,516,436,465,51,80,385,74.22%
4/26/2018,12,12,24,No,516,428,467,49,88,379,73.26%
4/27/2018,12,9,21,No,516,431,466,50,85,381,73.84%
4/28/2018,12,16,28,No,516,437,466,50,79,387,75%
4/29/2018,10,13,23,No,516,432,470,46,84,386,74.42%
4/30/2018,15,4,19,No,516,426,470,46,90,380,71.9%
5/1/2018,12,11,23,No,516,399,469,47,117,352,65.5%
5/2/2018,9,12,21,No,514,391,464,50,123,341,64.59%
5/3/2018,8,10,18,No,514,393,459,55,121,338,64.01%
5/4/2018,13,13,26,No,514,398,459,55,116,343,65.37%
5/5/2018,11,11,22,No,514,414,459,55,100,359,68.68%
5/6/2018,10,10,20,No,514,422,460,54,92,368,70.43%
5/7/2018,9,10,19,No,514,421,460,54,93,367,70.23%
5/8/2018,13,11,24,No,514,401,456,58,113,343,66.54%
5/9/2018,8,7,15,No,514,397,458,56,117,341,65.37%
5/10/2018,10,12,22,No,514,406,459,55,108,351,67.9%
5/11/2018,12,14,26,No,514,412,461,53,102,359,69.46%
5/12/2018,15,9,24,No,514,413,461,53,101,360,69.26%
5/13/2018,9,12,21,No,514,421,462,52,93,369,71.21%
5/14/2018,14,9,23,No,514,428,462,52,86,376,71.79%
5/15/2018,8,8,18,No,514,431,462,52,83,379,69.46%
